data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6360576,706,SOM29893,29893,"16 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Somalia)",,6,,,0,60,"Eastern Africa",Somalia,Banadir,"Mogadishu City",,Mogadishu,2.0414,45.3337,1,Twitter,"New media","16 November 2019. In Mogadishu roads were closed when people protested the government of Somalia's refusal of the ex-president to fly across Somalia and taxation issues.",0,1574122422,SOM
6360321,504,MOR2314,2314,"16 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Morocco)",,6,,,0,60,"Northern Africa",Morocco,"Rabat - Sale - Kenitra",Sale,"NA (Sale Tabriquet)",Sale,34.0531,-6.7985,1,Hespress,National,"On 16 November 2019, in Sale, hundreds of garbage men protested. [size=hundreds]",0,1574122422,MAR
6364418,688,SRB1258,1258,"16 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Serbia)",,6,,,0,60,Europe,Serbia,Vojvodina,"South Backa",,"Novi Sad",45.2593,19.8291,1,021.rs,Subnational,"On November 16, environmental activists protested in Novi Sad, Serbia, in order to state that it is the ""eleventh hour"" to react to climate change. [size=no report]",0,1574184061,SRB
6340868,792,TUR10116,10116,"16 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Turkey)","IHD: Human Rights Association",6,,,0,60,"Middle East",Turkey,Batman,Batman,,Batman,37.8874,41.1322,1,"ANF News",International,"On November 16, the relatives of the people who went missing in detention gathered for their weekly protest organised by the Human Rights Association (IHD) in Batman to demand justice. [size=no report]",0,1574105867,TUR
6340874,792,TUR10120,10120,"16 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Turkey)","IHD: Human Rights Association",6,,,0,60,"Middle East",Turkey,Diyarbakir,Diyarbakir,,Diyarbakir,37.9136,40.2172,1,"ANF News",International,"On November 16, the relatives of the people who went missing in detention gathered for their weekly protest organised by the Human Rights Association (IHD) in Diyarbakir to demand justice. [size=no report]",0,1574105867,TUR
6362892,524,NEP7093,7093,"16 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Nepal)","NC: Nepali Congress",6,,,0,60,"Southern Asia",Nepal,Central,Narayani,Parsa,Thori,27.3627,84.5739,1,Setopati,National,"On November 16, members of Nepali Congress demonstrated by staging a motorcycle rally in Thori locality (Parsa district, Narayani), against the recently published political map of India. The protesters were denouncing the map, which they claimed showed Nepali territories within the Indian border. [size=no report]",0,1574183713,NPL
6362638,50,BGD16907,16907,"16 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Bangladesh)","Students (Bangladesh)",6,,,0,60,"Southern Asia",Bangladesh,Rajshahi,Rajshahi,Rajshahi,Rajshahi,24.374,88.6011,1,"Dhaka Tribune",National,"On Nov 16, students of Rajshahi university blocked Dhaka-Rajshahi highway (Rajshahi) protesting the assault on one of the students by BCL activists. [size=no report]",0,1574183712,BGD
6364431,688,SRB1256,1256,"16 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Serbia)","1 of 5 million",6,,,0,60,Europe,Serbia,Belgrade,Belgrade,,Belgrade,44.6916,20.4261,1,BETA,National,"On November 16, another '1 of 5 Million' protest was held in Belgrade. The protesters marched for the 50th week in a row. [size=no report]",0,1574184061,SRB
6364434,643,RUS3523,3523,"16 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Russia)",,6,,,0,60,Europe,Russia,"Rostov Oblast","Rostov-on-Don Municipality",,Rostov-on-Don,47.2213,39.6939,1,"Caucasian Knot",National,"On November 16, about 90 people took part in an authorized protest in Rostov-on-Don against the construction of a new rubbish collection plant near a residential area in the city. [size=about 90]",0,1574184061,RUS
6364437,643,RUS3522,3522,"16 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Russia)",,6,,,0,60,Europe,Russia,"Republic of Dagestan","Makhachkala Municipality",,Makhachkala,42.9764,47.5024,1,"Caucasian Knot",Subnational,"On November 16, 5 people took part in a series of coordinated one-person protests in Makhachkala calling for an investigation into the police killing of two shepards during a raid targeting militant groups in the region. [size=5]",0,1574184061,RUS
